step,source,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,agent_llm_attempt_1,5.982950859703124,0.0001583658694609,3.9228531694066295e-05,0.0003724211312743,6.720503940919621e-05,0.0004788547023775
0,env_List_Files,1.0134305232204497,9.572310206855394e-06,5.7542948438690416e-06,1.3289177289266265e-05,9.900553311066082e-06,2.8944025444201385e-05
1,agent_llm_attempt_1,6.445210220757872,0.0001794903154775,4.766068332454577e-05,0.000409337271904,8.573124450502091e-05,0.0005427291997336
2,agent_llm_attempt_1,9.535732152871788,0.0002477461028136,5.149453439150361e-05,0.0006005990915838,9.702224559409338e-05,0.0007491158715694
2,env_Inspect_Script_Lines,1.0098728719167411,1.790898718385817e-05,5.720000973924268e-06,3.858447530546982e-05,9.84736058421226e-06,5.415183686360636e-05
3,agent_llm_attempt_1,24.5113023519516,0.0006854871130695999,0.0001393975792716141,0.0016539116009254002,0.0002794147509757,0.0020727239311728
4,agent_llm_attempt_1,15.0866257250309,0.0004463349726595,9.74285301388702e-05,0.0010866258692914,0.0001655394317478,0.0013495938311781
5,agent_llm_attempt_1,26.830897715874016,0.0007474809744886,0.000144530072404,0.0018496598130468,0.0002659863810016,0.0022601762664525
6,agent_llm_attempt_1,24.00296892412007,0.0007019939794641,0.0001387501416074,0.001743370005812,0.0002405159941395,0.002122636141559
7,agent_llm_attempt_1,16.494204929098487,0.0004756882209546,8.991844637740363e-05,0.0011657189881333,0.0001827125221128,0.0014383499566236
8,agent_llm_attempt_1,15.65600613784045,0.0004529982170234,8.834144793092213e-05,0.0011246364552448,0.0001567637408333,0.0013697416440091
9,agent_llm_attempt_1,16.980977576691657,0.0004759537302166,9.317976593852744e-05,0.0011733214942069,0.000172651523243,0.0014391527833884
10,agent_llm_attempt_1,15.07562157092616,0.0004509474416482,9.570110905587128e-05,0.0011028264378154,0.0001650131181309,0.0013635406650022
11,agent_llm_attempt_1,26.37046572100371,0.0007499720464292,0.0001420151809547,0.0018493184238934,0.0002763749759644,0.0022677085808126
12,agent_llm_attempt_1,15.466464417986572,0.0004582502036166,9.795947821806404e-05,0.0011148453363176,0.0001728173881161,0.0013856222026518
13,agent_llm_attempt_1,29.041408114135265,0.0008426981862788,0.0001607511691913,0.0020886177820074,0.000298717897049,0.0025480868482478
